"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"40","Zena Schmeler","laki-laki","10","SS","SS","STS","SS","SS","TS","S","TS","SS","S","STS","SS","S","TS","TS"
"41","Miss Dolly Romaguera","laki-laki","12","SS","TS","S","TS","S","SS","TS","SS","S","S","S","STS","STS","S","STS"
"42","Kayleigh Kuphal III","perempuan","12","S","STS","SS","S","STS","SS","STS","STS","SS","STS","S","S","S","S","S"
"43","Dee Beer II","perempuan","11","SS","STS","TS","STS","S","S","SS","TS","TS","S","TS","S","S","S","TS"
"44","Pauline Gulgowski","laki-laki","10","S","STS","S","SS","S","S","S","SS","STS","S","S","TS","STS","S","SS"
"45","Brandt Sipes","perempuan","12","S","S","TS","STS","S","STS","STS","TS","SS","SS","SS","STS","TS","S","TS"
"46","Kianna Hermiston","laki-laki","11","TS","STS","SS","SS","TS","SS","SS","TS","STS","TS","S","STS","SS","SS","SS"
"47","Miguel Willms II","laki-laki","10","TS","TS","STS","STS","TS","TS","S","SS","SS","STS","SS","TS","TS","S","SS"
"48","Darren Reilly II","laki-laki","10","TS","TS","STS","S","S","S","TS","TS","TS","SS","TS","SS","SS","STS","STS"
"49","Ramiro Paucek","perempuan","11","SS","S","TS","SS","STS","SS","SS","SS","TS","S","STS","SS","TS","STS","TS"
"50","Terrance Bogan V","perempuan","11","SS","TS","STS","STS","TS","SS","STS","S","SS","STS","STS","TS","TS","S","SS"
"51","Prof. Crystel Toy DVM","perempuan","10","SS","STS","S","TS","SS","S","S","TS","S","S","STS","TS","TS","S","SS"
"52","Mr. Cecil Farrell II","perempuan","10","S","TS","STS","STS","TS","TS","TS","TS","SS","TS","TS","STS","STS","S","TS"
"53","Ebba Smith","perempuan","12","SS","STS","S","STS","TS","SS","SS","TS","TS","SS","S","TS","STS","STS","SS"
"54","Miss Abbigail Rath PhD","perempuan","10","TS","S","S","STS","STS","TS","S","STS","STS","S","SS","SS","STS","SS","S"
"55","Maud Bogisich","perempuan","12","S","S","STS","TS","STS","STS","SS","STS","SS","SS","TS","SS","SS","S","SS"
"56","Kiara Stroman II","perempuan","12","TS","SS","STS","S","SS","TS","STS","S","STS","S","TS","S","S","TS","SS"
"57","Jayson Lind","laki-laki","11","TS","S","TS","STS","SS","SS","STS","S","S","STS","STS","TS","SS","SS","S"
"58","Elna Kirlin","perempuan","11","S","STS","S","S","S","SS","SS","STS","S","SS","SS","STS","SS","SS","SS"
"59","Dr. Freddy Dach","laki-laki","12","TS","S","STS","TS","TS","TS","S","S","STS","STS","SS","SS","STS","TS","SS"
"60","Clarissa Heller","perempuan","12","TS","S","TS","STS","SS","STS","S","SS","TS","SS","STS","SS","SS","SS","STS"
"61","Mr. Dejuan Gusikowski DVM","perempuan","12","SS","STS","S","S","STS","STS","TS","TS","S","TS","SS","TS","TS","S","TS"
"62","Oleta Carroll","laki-laki","10","S","STS","SS","STS","TS","SS","S","STS","STS","S","STS","SS","TS","SS","S"
"63","Julio Borer","laki-laki","11","TS","S","STS","STS","SS","STS","TS","TS","S","S","SS","SS","STS","TS","SS"
"64","Gunnar Morar MD","perempuan","12","S","S","SS","SS","STS","SS","S","SS","S","SS","STS","TS","TS","STS","S"
"65","Jules Gaylord","perempuan","10","S","STS","TS","TS","SS","TS","TS","TS","TS","S","STS","S","S","S","SS"
"66","Alford Kris V","laki-laki","10","STS","SS","S","STS","STS","STS","S","SS","SS","STS","TS","S","S","S","STS"
"67","Clyde Mayert Jr.","perempuan","12","TS","TS","STS","S","STS","STS","TS","TS","TS","S","S","SS","STS","STS","TS"
"68","Maegan Nader","perempuan","12","SS","STS","STS","S","SS","TS","SS","TS","TS","STS","SS","S","SS","TS","STS"
"69","Prof. Kaleigh Jacobs","laki-laki","12","SS","SS","SS","TS","STS","S","S","STS","SS","STS","STS","STS","SS","SS","SS"
"70","Susana Batz","perempuan","12","TS","STS","TS","SS","SS","SS","SS","STS","S","SS","TS","STS","S","STS","STS"
"71","Kasey Steuber","laki-laki","11","SS","TS","SS","STS","STS","S","STS","SS","SS","SS","TS","TS","STS","TS","S"
"72","Hunter Grady","laki-laki","11","TS","S","TS","TS","STS","S","STS","TS","S","SS","SS","S","S","SS","STS"
"73","Mrs. Carlotta Barrows","laki-laki","12","SS","S","SS","STS","SS","SS","S","S","TS","S","STS","STS","STS","STS","SS"
"74","Enrique Herman","perempuan","12","TS","TS","STS","TS","SS","SS","STS","TS","TS","SS","SS","S","STS","TS","SS"
"75","Mrs. Kenya Medhurst Jr.","laki-laki","10","TS","SS","STS","STS","S","S","SS","TS","SS","S","S","STS","STS","STS","STS"
"76","Shaina Swift DVM","perempuan","12","STS","SS","S","S","S","STS","S","S","SS","SS","S","STS","S","STS","TS"
"77","Anabelle Rice","perempuan","12","S","TS","TS","SS","TS","SS","S","SS","TS","TS","TS","S","S","SS","S"
"78","Prof. Thea Dickinson V","laki-laki","12","SS","STS","S","S","SS","STS","SS","SS","STS","S","STS","S","TS","TS","TS"
"79","Elaina Morar","laki-laki","10","S","STS","STS","SS","TS","TS","STS","TS","SS","S","TS","TS","S","TS","S"
"80","Braxton Nicolas III","laki-laki","12","TS","TS","S","S","SS","STS","TS","S","STS","STS","STS","TS","STS","S","SS"
"81","Krystal Lemke","perempuan","10","SS","S","S","STS","S","S","S","SS","STS","TS","SS","TS","SS","STS","STS"
"82","Mrs. Shawna Labadie II","perempuan","12","STS","TS","S","TS","SS","SS","STS","SS","TS","TS","S","TS","STS","STS","STS"
"83","Mr. Jalon Gusikowski V","laki-laki","12","TS","TS","TS","TS","TS","TS","STS","STS","SS","STS","S","STS","SS","SS","S"
"84","Laurine Bailey","laki-laki","10","TS","S","STS","SS","STS","TS","SS","TS","SS","TS","S","S","S","TS","TS"
"85","Norval Rohan PhD","laki-laki","12","TS","STS","SS","TS","S","S","SS","SS","S","SS","S","S","S","S","SS"
"86","Raphael Pollich","perempuan","11","TS","TS","STS","S","TS","SS","S","TS","STS","STS","STS","SS","STS","TS","TS"
"87","Delfina Kuhn","perempuan","12","TS","S","SS","STS","S","STS","S","STS","SS","SS","TS","SS","SS","STS","STS"
"88","Rosalee McClure","perempuan","11","TS","SS","S","STS","S","TS","STS","STS","TS","S","S","SS","STS","S","S"
"89","Hellen West V","perempuan","10","STS","SS","SS","TS","TS","SS","TS","S","S","TS","S","STS","SS","STS","STS"
"90","Verda Wehner PhD","perempuan","12","STS","TS","S","TS","SS","S","TS","SS","SS","TS","S","SS","SS","S","SS"
"91","Norbert Sporer","laki-laki","12","STS","TS","SS","SS","TS","S","TS","SS","SS","TS","STS","TS","S","STS","STS"
"92","Prof. Carli Kuvalis","perempuan","12","STS","STS","TS","TS","STS","STS","S","S","S","STS","STS","S","SS","TS","TS"
"93","Kasandra Tromp","laki-laki","10","S","S","STS","STS","SS","STS","TS","S","STS","STS","S","STS","TS","S","S"
"94","Brannon Maggio II","laki-laki","11","S","STS","STS","STS","S","SS","STS","S","TS","TS","TS","S","SS","TS","TS"
"95","Elenora Klein","laki-laki","11","S","STS","TS","S","TS","SS","SS","STS","STS","S","STS","STS","TS","S","SS"
"96","Clinton Prohaska","perempuan","10","S","S","STS","TS","STS","SS","SS","SS","TS","TS","STS","SS","TS","STS","S"
"97","Owen Hill","laki-laki","10","STS","S","S","STS","TS","STS","SS","SS","TS","S","SS","STS","STS","SS","STS"
"98","Prof. Hellen Koepp","perempuan","12","SS","STS","S","STS","SS","STS","SS","S","S","SS","SS","TS","S","SS","S"
"99","Mr. Stevie Ziemann V","perempuan","12","S","STS","STS","STS","S","STS","TS","S","TS","TS","SS","STS","TS","SS","SS"
"100","Clementine Kertzmann","perempuan","10","TS","STS","SS","TS","S","TS","STS","TS","SS","STS","TS","TS","SS","STS","SS"
"101","Heloise Hauck","perempuan","11","TS","SS","S","S","S","S","STS","SS","SS","S","SS","TS","S","TS","STS"
"102","Rowan Schroeder","laki-laki","10","TS","SS","TS","STS","SS","TS","SS","S","S","S","STS","TS","S","TS","SS"
"103","Murphy Terry","perempuan","12","TS","TS","SS","SS","SS","TS","TS","SS","S","SS","TS","STS","SS","SS","STS"
"104","Ms. Willa Schamberger DDS","perempuan","10","SS","STS","SS","S","STS","S","S","TS","TS","S","STS","STS","TS","S","TS"
"105","Mikel Morar","perempuan","12","TS","S","S","TS","STS","SS","S","S","S","SS","SS","TS","STS","TS","TS"
"106","Dr. Arne Emard","laki-laki","11","STS","STS","S","TS","SS","SS","STS","S","SS","STS","TS","STS","SS","STS","TS"
"107","Miss Penelope Gislason","perempuan","10","STS","TS","TS","SS","S","S","SS","S","S","TS","STS","STS","S","S","SS"
"108","Frances Heaney","laki-laki","10","STS","S","TS","S","STS","S","S","SS","STS","STS","TS","STS","STS","STS","TS"
"109","Evelyn Barton","perempuan","11","STS","S","SS","TS","TS","STS","TS","TS","SS","STS","SS","S","TS","TS","S"
"110","Antonette Prosacco V","laki-laki","10","SS","S","SS","SS","STS","STS","SS","TS","STS","TS","S","TS","S","STS","SS"
"111","Dr. Josianne Brekke III","perempuan","11","S","SS","TS","S","TS","S","STS","SS","TS","S","TS","S","S","STS","SS"
"112","Enoch Reinger","perempuan","10","S","S","TS","TS","S","TS","STS","STS","STS","STS","SS","SS","TS","STS","STS"
"113","Fanny Erdman","laki-laki","12","S","STS","STS","TS","TS","STS","TS","STS","STS","S","TS","SS","SS","STS","STS"
"114","Rosario Stoltenberg","laki-laki","10","S","SS","TS","S","S","TS","SS","STS","SS","S","S","SS","S","STS","STS"
"115","Dashawn Fisher","perempuan","11","STS","S","STS","S","TS","SS","S","SS","S","TS","S","S","TS","TS","SS"
"116","Elmore O'Kon","laki-laki","10","TS","STS","TS","STS","STS","SS","SS","TS","SS","SS","STS","S","S","STS","TS"
"117","Prof. Richard Mills I","laki-laki","10","TS","SS","TS","S","TS","STS","S","TS","S","SS","TS","TS","STS","TS","SS"
"118","Celia Schowalter MD","laki-laki","10","SS","STS","TS","SS","TS","TS","TS","S","TS","STS","SS","TS","S","TS","TS"
"119","Lauryn Kessler","perempuan","11","TS","S","SS","STS","S","STS","SS","SS","STS","TS","TS","SS","SS","SS","S"
"120","Guy Labadie","perempuan","12","SS","TS","STS","S","S","TS","TS","SS","SS","SS","S","TS","STS","S","SS"
"121","Mr. Donavon Brown DDS","perempuan","11","STS","TS","SS","S","TS","STS","TS","TS","STS","S","SS","S","SS","SS","S"
"122","Ms. Vida Quigley PhD","laki-laki","12","S","TS","STS","STS","STS","S","S","SS","TS","TS","S","S","STS","TS","SS"
"123","Ms. Kristin Glover","laki-laki","10","STS","SS","STS","SS","STS","TS","TS","SS","SS","TS","SS","TS","TS","SS","S"
"124","Raphaelle Klocko","perempuan","11","S","SS","STS","STS","TS","STS","TS","TS","TS","STS","S","TS","STS","TS","SS"
"125","Dr. Mallory Johns DDS","laki-laki","10","STS","SS","SS","SS","STS","TS","S","SS","SS","SS","STS","STS","S","STS","TS"
"126","Pearl Osinski","perempuan","11","TS","STS","STS","SS","TS","SS","S","S","SS","SS","TS","SS","S","SS","TS"
"127","Oma Thiel","perempuan","10","S","STS","TS","STS","SS","TS","S","S","TS","S","S","SS","STS","TS","S"
"128","Russel Strosin V","perempuan","11","TS","S","S","TS","SS","S","TS","SS","TS","STS","S","S","S","TS","S"
"129","Mandy Adams","laki-laki","11","TS","S","STS","S","S","SS","SS","S","S","TS","STS","S","TS","TS","SS"
"130","Prof. Ashtyn Upton","perempuan","12","TS","SS","S","STS","SS","S","SS","STS","SS","S","STS","S","TS","SS","SS"
"131","Ike Hirthe","perempuan","11","S","SS","SS","STS","TS","S","TS","TS","SS","TS","STS","S","TS","S","S"
"132","Darrion Bahringer","perempuan","10","STS","TS","SS","S","S","STS","S","STS","SS","STS","S","SS","TS","S","STS"
"133","Gregoria Luettgen","perempuan","11","TS","TS","SS","S","STS","SS","STS","SS","S","TS","S","SS","TS","STS","S"
"134","Dillan Shanahan","laki-laki","12","S","SS","STS","SS","SS","TS","TS","S","S","STS","TS","STS","TS","S","STS"
"135","Blake Witting","laki-laki","10","TS","TS","TS","TS","SS","SS","STS","TS","TS","S","S","TS","S","S","TS"
"136","Ignatius Kunze","perempuan","11","TS","STS","STS","STS","SS","TS","TS","S","SS","S","STS","TS","TS","STS","STS"
"137","Zora Murazik III","perempuan","10","STS","SS","S","TS","S","TS","S","TS","STS","STS","STS","STS","TS","TS","S"
"138","Prof. Max Connelly","laki-laki","12","TS","TS","STS","SS","TS","STS","TS","S","TS","STS","SS","STS","TS","S","SS"
"139","Hillary Reichel","perempuan","10","S","SS","STS","S","TS","TS","TS","TS","S","S","S","TS","STS","TS","SS"
"140","Ms. Marlene Ruecker","perempuan","11","TS","SS","STS","STS","S","STS","SS","TS","TS","S","S","TS","SS","S","TS"
"141","Shaniya Hayes","perempuan","11","S","STS","S","SS","TS","SS","TS","SS","TS","S","SS","TS","STS","S","S"
"142","Marlene Bashirian","perempuan","10","S","SS","STS","SS","S","STS","STS","SS","SS","S","SS","SS","SS","S","SS"
"143","Dandre Reichert","laki-laki","11","SS","SS","TS","SS","TS","S","TS","S","STS","TS","STS","TS","S","STS","TS"
"144","Shirley Baumbach","perempuan","11","S","S","S","STS","SS","SS","STS","STS","S","TS","STS","STS","S","TS","SS"
"145","Collin Stark","laki-laki","12","SS","TS","S","TS","SS","S","STS","TS","TS","SS","SS","S","SS","SS","SS"
"146","Ms. Mckayla Farrell DVM","perempuan","12","TS","SS","TS","S","STS","STS","S","SS","STS","STS","STS","S","SS","TS","S"
"147","Miss Anika Dicki II","laki-laki","11","STS","S","SS","STS","STS","TS","STS","SS","STS","TS","S","SS","SS","TS","SS"
"148","Dorthy Dach","laki-laki","11","STS","S","S","STS","SS","S","S","SS","S","TS","S","SS","TS","STS","S"
"149","Alec Steuber","perempuan","12","SS","STS","SS","SS","S","TS","TS","STS","SS","STS","STS","STS","STS","TS","TS"
"150","Teagan Cassin","laki-laki","10","TS","STS","S","SS","S","SS","SS","S","STS","S","SS","S","S","STS","S"
"151","Mr. Collin Parisian V","perempuan","11","STS","S","S","S","STS","S","STS","S","TS","TS","TS","SS","SS","TS","STS"
"152","Prof. Norma Satterfield","perempuan","10","S","STS","S","TS","S","STS","SS","TS","TS","S","S","SS","TS","SS","STS"
"153","Dr. Colten Schaden DVM","perempuan","11","TS","S","SS","SS","TS","SS","STS","TS","TS","STS","STS","TS","STS","S","TS"
"154","Mackenzie Windler","perempuan","11","STS","STS","STS","TS","TS","S","TS","STS","S","TS","S","STS","SS","STS","STS"
"155","Dr. Lance Moen","laki-laki","10","SS","SS","S","SS","TS","STS","STS","SS","S","TS","TS","SS","TS","STS","SS"
"156","Beatrice Steuber","perempuan","10","TS","TS","TS","SS","TS","SS","SS","SS","SS","S","TS","SS","TS","S","S"
"157","Mafalda Johns","perempuan","11","S","STS","TS","STS","TS","S","S","STS","STS","STS","SS","STS","S","TS","STS"
"158","Hilma Yundt","perempuan","11","SS","S","TS","STS","SS","S","TS","SS","TS","SS","STS","S","S","TS","S"
"159","Ms. Dandre Will III","perempuan","11","S","S","STS","STS","S","TS","TS","TS","S","S","TS","S","STS","STS","S"
"160","Miss Maria O'Keefe","perempuan","10","TS","STS","TS","S","SS","TS","STS","STS","S","S","TS","STS","S","S","S"
"161","Nia Moore IV","perempuan","11","STS","S","STS","STS","STS","TS","STS","S","STS","TS","S","TS","SS","STS","TS"
"162","Prof. Christine Paucek Jr.","laki-laki","11","TS","TS","STS","S","SS","S","TS","TS","SS","SS","SS","S","TS","STS","STS"
"163","Ms. Abbigail Lockman III","laki-laki","10","S","SS","SS","S","SS","STS","TS","SS","S","S","STS","TS","SS","STS","SS"
"164","Dora Bashirian","laki-laki","10","STS","SS","TS","SS","TS","TS","TS","S","S","TS","SS","STS","SS","STS","STS"
"165","Guillermo Lockman","laki-laki","12","S","STS","TS","STS","SS","STS","TS","S","S","SS","SS","S","SS","STS","SS"
"166","Prof. Barrett Koepp","laki-laki","10","SS","TS","TS","STS","SS","SS","S","STS","TS","STS","STS","S","TS","SS","SS"
"167","Blanca Okuneva","laki-laki","10","SS","SS","SS","STS","STS","S","STS","STS","SS","S","SS","S","SS","STS","STS"
"168","Ebony Treutel","laki-laki","10","SS","STS","SS","S","S","STS","SS","SS","SS","SS","SS","S","S","SS","S"
"169","Marlee Hand","laki-laki","11","SS","SS","SS","SS","STS","STS","TS","TS","SS","STS","STS","SS","SS","STS","S"
"170","Tyrell Bednar","perempuan","11","STS","STS","TS","TS","STS","STS","SS","TS","SS","S","SS","S","SS","STS","SS"
"171","Vergie Beahan V","perempuan","10","SS","SS","S","S","SS","S","S","SS","SS","TS","SS","SS","TS","SS","S"
"172","Prof. Eldon Feeney","perempuan","11","S","TS","STS","SS","S","S","S","STS","STS","TS","SS","SS","S","STS","SS"
"173","Kyra Olson MD","perempuan","10","TS","SS","STS","TS","S","S","S","S","TS","TS","TS","TS","STS","S","S"
"174","Mrs. Alyson Pouros","laki-laki","12","S","S","STS","STS","S","TS","STS","SS","STS","STS","S","SS","S","STS","S"
"175","Dr. Baylee Daugherty","perempuan","11","STS","TS","TS","SS","S","SS","S","TS","TS","TS","SS","STS","TS","STS","TS"
"176","Ethel Mertz","laki-laki","11","STS","STS","STS","SS","SS","STS","SS","SS","SS","STS","STS","SS","STS","STS","S"
"177","Keaton Ernser","laki-laki","12","TS","SS","TS","S","TS","S","STS","STS","STS","S","SS","STS","S","TS","TS"
"178","Jacques Kihn","perempuan","11","STS","SS","TS","S","STS","SS","TS","TS","SS","SS","SS","S","STS","S","SS"
"179","Prof. Carmen Bergstrom","perempuan","11","S","SS","SS","STS","TS","SS","SS","S","STS","TS","S","STS","SS","SS","TS"
"180","Lilla Quitzon","perempuan","12","STS","TS","STS","S","S","STS","SS","S","SS","S","STS","TS","STS","STS","TS"
"181","Meaghan Ankunding","perempuan","12","STS","S","S","TS","SS","S","SS","S","STS","S","TS","S","S","TS","STS"
"182","Dr. Giles Brekke","perempuan","12","TS","SS","STS","TS","TS","STS","S","STS","S","STS","TS","SS","S","SS","STS"
"183","Mrs. Ena Collier","laki-laki","10","S","SS","S","SS","S","TS","SS","STS","STS","STS","STS","TS","STS","TS","S"
"184","Dayton Collins","perempuan","12","STS","S","SS","TS","TS","S","STS","STS","STS","S","SS","STS","TS","SS","TS"
"185","Celestino Ebert","laki-laki","12","SS","TS","TS","SS","STS","SS","SS","SS","S","TS","STS","S","S","SS","TS"
"186","Kylie Corwin","laki-laki","10","SS","SS","S","TS","TS","SS","SS","S","S","TS","SS","SS","SS","SS","S"
"187","Nicholas Halvorson","perempuan","12","TS","TS","TS","TS","TS","TS","S","SS","SS","SS","S","S","TS","STS","TS"
"188","Richmond McClure","laki-laki","11","TS","SS","SS","TS","STS","SS","STS","SS","SS","TS","STS","STS","S","STS","SS"
"189","Ofelia Schroeder","laki-laki","11","SS","SS","S","TS","S","STS","S","S","SS","TS","TS","STS","S","SS","SS"
"190","Prof. Malvina Boyle Jr.","laki-laki","12","STS","TS","SS","S","S","TS","SS","S","SS","S","TS","STS","STS","TS","STS"
"191","Waino Upton","laki-laki","11","S","TS","TS","S","TS","STS","TS","STS","TS","TS","TS","STS","SS","STS","SS"
"192","Ms. Eulalia Hammes I","laki-laki","10","S","STS","TS","S","STS","SS","S","STS","STS","S","S","SS","S","S","STS"
"193","Harvey Mills","perempuan","10","SS","SS","SS","SS","TS","SS","SS","TS","S","TS","S","TS","SS","TS","TS"
"194","Katlynn Mayer","laki-laki","10","S","STS","STS","STS","TS","S","SS","SS","S","S","STS","TS","S","SS","SS"
"195","Curtis Stroman","perempuan","12","STS","SS","STS","TS","SS","SS","S","STS","SS","STS","SS","STS","SS","TS","TS"
"196","Mr. Stephan Rau MD","laki-laki","11","SS","TS","S","SS","STS","S","TS","S","TS","STS","S","TS","SS","STS","TS"
"197","Leonora Wyman","perempuan","11","TS","TS","S","TS","S","S","S","SS","STS","S","TS","S","TS","STS","S"
"198","Easton Crooks IV","laki-laki","12","STS","STS","STS","TS","S","STS","SS","SS","SS","TS","SS","SS","SS","S","S"
"199","Dr. Nyasia Morar DVM","laki-laki","12","S","TS","TS","SS","SS","SS","SS","TS","TS","STS","STS","SS","TS","S","STS"
"200","Yolanda Schaefer III","perempuan","10","TS","STS","STS","TS","SS","TS","SS","TS","STS","STS","STS","TS","S","SS","SS"
"201","Prof. Rickie Crona","perempuan","11","TS","S","TS","STS","SS","SS","S","TS","STS","TS","SS","TS","S","SS","TS"
"202","Ulises McDermott","perempuan","10","SS","TS","TS","STS","STS","SS","S","S","TS","SS","SS","S","SS","STS","STS"
"203","Mr. Monty Sauer V","laki-laki","10","SS","STS","STS","TS","SS","S","SS","S","TS","TS","SS","STS","STS","STS","S"
"204","Lance Skiles","perempuan","11","SS","SS","STS","STS","STS","SS","SS","STS","TS","STS","STS","SS","SS","TS","STS"
"205","Verdie Von","perempuan","12","STS","STS","SS","S","S","S","STS","S","SS","STS","SS","SS","SS","TS","STS"
"206","Prof. Santa Goodwin","laki-laki","11","SS","SS","TS","TS","S","TS","S","TS","SS","TS","TS","S","TS","TS","STS"
"207","Beulah Turner","laki-laki","11","TS","STS","S","S","S","TS","SS","STS","S","TS","STS","S","STS","S","STS"
"208","Margarette Kessler","laki-laki","11","TS","S","S","STS","TS","STS","SS","S","STS","STS","TS","S","TS","STS","STS"
"209","Kaley Zieme","laki-laki","10","STS","STS","TS","TS","TS","TS","S","SS","TS","S","TS","STS","S","STS","STS"
"210","Bella Mayer I","laki-laki","11","SS","SS","SS","TS","STS","STS","S","SS","SS","STS","S","SS","TS","STS","TS"
"211","Deion Feest","laki-laki","12","SS","STS","SS","S","TS","S","TS","S","SS","SS","TS","SS","TS","S","S"
"212","Elissa Reinger","laki-laki","10","SS","TS","STS","TS","SS","SS","S","STS","S","SS","SS","S","STS","STS","STS"
"213","Warren Waelchi","laki-laki","10","S","TS","S","SS","STS","SS","STS","S","STS","S","S","TS","SS","S","S"
"214","Miss Hilma Graham","laki-laki","11","SS","STS","S","TS","SS","TS","TS","S","SS","S","TS","TS","TS","S","SS"
"215","Madelyn Buckridge V","perempuan","12","S","TS","TS","TS","STS","S","SS","SS","TS","S","STS","SS","TS","STS","STS"
